"","mouseID","sex","lon","lat","year","bodyweight","bodylength","BMI","HI","loc","batch","Ntrapped","observed_arg","chao1_arg","shannon_arg","simpson_eve_arg","simpson_dom_arg"
"637","AA_0370","F",13.8767,52.2089,2017,"20.34",84.42,2.18142862287303,0.08,"52.2089   13.8767","Batch_1",1,59,59,3.21751249251651,0.230925828752139,0.0733965214457021
"638","AA_0152","M",13.81,51.8978,2016,"13.75",75,-0.270812509040721,0.105263158,"51.8978   13.81","Batch_1",12,34,34,2.96424127297255,0.415836362858433,0.0707291793909213
"639","AA_0456","M",13.6506,53.2108,2017,"8.65",63.38,-0.266698066666816,1,"53.2108   13.6506","Batch_1",6,30,30,2.68198599288825,0.316734592132486,0.105240583634738
"640","AA_0324","F",13.4622,53.1119,2017,"15.54",81.92,-1.52044004270918,0.84,"53.1119   13.4622","Batch_1",3,60,60,3.4337240698047,0.321210150945323,0.0518871107205565
"641","AA_0082","F",13.84,52.2678,2016,"12.015",72,-0.688054907739368,0,"52.2678   13.84","Batch_1",4,44,44,3.03307007971756,0.290280164064817,0.0782942671969758
"642","AA_0049","M",13.676085,52.497666,2016,"18.53",83,0.99516722082234,0.85,"52.4977   13.6761","Batch_1",9,43,43,3.12277722036395,0.343415299100736,0.0677192134840405
"643","AA_0490","M",11.4812,53.84506,2017,"17.5",83,-0.034832779177661,0.684210526315789,"53.8451   11.4812","Batch_1",3,42,42,3.13956385039952,0.363684953843238,0.0654674425156083
"644","AA_0391","M",14.1808,52.0747,2017,"18.73",79.98,2.52170987279903,0.833333333,"52.0747   14.1808","Batch_1",10,52,52,3.12093937517871,0.257206801855101,0.0747677320042375
"645","AA_0467","F",13.3047,52.9936,2016,"16.02",81.75,-0.965767111968765,0,"52.9936   13.3047","Batch_1",8,32,32,2.80960107872543,0.337680313385629,0.0925431503148148
"646","AA_0076","M",13.7072,52.2422,2016,"21.853",86,3.00040961952099,0.05,"52.2422   13.7072","Batch_1",1,59,59,3.37297195980849,0.295880516852333,0.057283773607952
