ARO,localization,mobility,drug_class
ARO:3003805,chromosome,FALSE,peptide
ARO:3003797,chromosome,FALSE,peptide
ARO:3004171,chromosome,FALSE,macrolide
ARO:3003307,chromosome,FALSE,fluoroquinolone
ARO:3003317,chromosome,FALSE,fluoroquinolone
ARO:3003926,chromosome,FALSE,fluoroquinolone
ARO:3003939,chromosome,FALSE,fluoroquinolone
ARO:3005047,chromosome,FALSE,peptide
ARO:3005053,mixed,TRUE,peptide
ARO:3000375,plasmids,TRUE,multidrug
ARO:3003730,chromosome,FALSE,mupirocin
ARO:3004334,chromosome,FALSE,multidrug
ARO:3002943,mixed,TRUE,glycopeptide
ARO:3002964,mixed,TRUE,glycopeptide
ARO:3000013,mixed,TRUE,glycopeptide
ARO:3002950,mixed,TRUE,glycopeptide
ARO:3003789,chromosome,FALSE,fluoroquinolone
ARO:3002921,mixed,TRUE,glycopeptide
ARO:3002932,mixed,TRUE,glycopeptide
ARO:3002956,mixed,TRUE,glycopeptide
ARO:3004616,chromosome,FALSE,multidrug
ARO:3004179,chromosome,FALSE,macrolide
ARO:3002909,mixed,TRUE,glycopeptide
ARO:3000593,mixed,TRUE,multidrug
ARO:3003924,chromosome,FALSE,fluoroquinolone
ARO:3003925,chromosome,FALSE,fluoroquinolone
ARO:3002966,chromosome,FALSE,glycopeptide
ARO:3000368,chromosome,FALSE,glycopeptide
ARO:3002970,chromosome,FALSE,glycopeptide
ARO:3002933,chromosome,FALSE,glycopeptide
ARO:3003306,chromosome,FALSE,fluoroquinolone
ARO:3002965,mixed,TRUE,glycopeptide
ARO:3003928,mixed,TRUE,fluoroquinolone
ARO:3003929,mixed,TRUE,fluoroquinolone
ARO:3004859,chromosome,FALSE,zoliflodacin
