"mouseID","sex","year","bodyweight","bodylength","BMI","HI","loc","batch","Ntrapped","ID","agri","imperv","tcd","swf","dist_road","dist_path","prec_aug_2015","prec_aug_2016","prec_aug_2017","prec_aug_2018","prec_aug_2019","prec_aug_2021","prec_aug_2022","temp_aug_2015","temp_aug_2016","temp_aug_2017","temp_aug_2018","temp_aug_2019","temp_aug_2021","temp_aug_2022","CATO","PITO","POTO","cat_dens","pig_dens","pou_dens","gem_char","region","lon","lat","farm_ID","observed_arg","chao1_arg","shannon_arg","simpson_eve_arg","simpson_dom_arg"
"AA_0653","M",2018,8.84,62,0.529470429933739,0.7058824,"53.1514   13.2144","Batch_1",14,1,0.479999989271164,37.2099990844727,0,0,73.8466033935547,232.88703918457,50.6054039001465,36.8394432067871,59.6054039001465,25.9978694915771,32.1375274658203,102.216979980469,75.0714797973633,205.225799560547,174.460433959961,178.460433959961,201.225799560547,198.225799560547,168.225799560547,206.223297119141,0.000240711160586216,7.25991731087561e-06,5.60886765015312e-05,1.12378320409334e-05,3.3893624618031e-07,0.00261855381540954,"12065084","Brandenburg",13.2144,53.1514,215,82,82,3.56838907745049,0.254873706574903,0.0478477051050206
"AA_0578","F",2018,15.06,82.84,-2.40455237377516,0.56,"52.2125   14.0922","Batch_1",6,2,0.740000009536743,55.0499992370605,0,0,47.8688850402832,25.3767433166504,37.0869140625,34.0063705444336,96.3796768188477,16,32.0808372497559,122.124877929688,95.2927932739258,225.085357666016,184.997695922852,190.997695922852,218.997680664062,208.997695922852,176.998443603516,216.997680664062,0.564330041408539,0.249466836452484,0.000134431160404347,0.0305373091250658,0.0134992748498917,0.0072744064964354,"12067426","Brandenburg",14.0922,52.2125,49,49,49,3.11723243795481,0.267356071952911,0.0763332701450694
"SK_3019","F",2015,18.65,84.7,0.368437913418238,0.76,"48.8336   12.145","Batch_1",3,3,0.0999999940395355,17.2800006866455,0,0,22.485668182373,125.727279663086,32.553050994873,48.0149383544922,101.229644775391,51.6082572937012,90.1362838745117,101.714286804199,61.6459503173828,213.395629882812,185.395629882812,193.395629882812,211.395629882812,194.395629882812,168.395629882812,202.395629882812,1.33315908908844,0.679507374763489,0.000178761023562402,0.171994641423225,0.0876651778817177,0.0230624675750732,"09375196","Bayern",12.145,48.83361111,2,57,57,3.21841461101352,0.256385236736078,0.0684277295856251
"SK_3038","M",2015,12.98,76,-1.48006504280784,0.55,"48.8519   12.0933","Batch_1",4,4,0.0899999961256981,60.310001373291,0,0,31.6119289398193,45.6129875183105,33.5362663269043,49.0936393737793,102.435600280762,53.6088333129883,100.569686889648,104.635108947754,62.0663375854492,213.020797729492,185.020797729492,193.020797729492,210.736465454102,194.020797729492,168.020797729492,203.020156860352,0.640521645545959,0.0340447910130024,0.000135555805172771,0.113630637526512,0.00603965763002634,0.0240480452775955,"09273141","Bayern",12.09333333,48.85194444,4,37,37,2.88409914352303,0.311368498440042,0.0868007751665072
"SK_2962","F",2015,13.61,77.7,-1.59679435021194,0,"49.6439   12.2389","Batch_1",1,5,0.219999998807907,13.8000001907349,0,0,43.4313659667969,65.6682662963867,64.680061340332,35.8250694274902,104.029495239258,34.6238670349121,90.2596435546875,122.49201965332,68.4137344360352,203.544891357422,169.544845581055,178.544891357422,197.544921875,180.544921875,151.544921875,191.544921875,1.92435538768768,0.273209869861603,0.00535421818494797,0.272305279970169,0.0386604741215706,0.757646918296814,"09363000","Bayern",12.23888889,49.64388889,26,53,53,3.24677998267278,0.304828922655839,0.0618967661070809
"AA_0461","M",2017,8.38,66.85,-2.06090435883872,0.142857143,"52.4936   13.6686","Batch_1",6,6,0.519999980926514,39,0,0,23.9148368835449,30.8242111206055,34.565486907959,40.1565628051758,63.0231742858887,9.07248210906982,28.6513519287109,64.6789169311523,46.6844062805176,218.489135742188,182.489135742188,188.434509277344,211.489135742188,210.927520751953,178.031448364258,215.927520751953,0.0336529426276684,0.00670273322612047,5.25753930560313e-05,0.0105757657438517,0.00210639950819314,0.0165223311632872,"12064227","Brandenburg",13.6686,52.4936,70,113,113,3.64812396389116,0.195782776132049,0.0452008991646699
"AA_0330","M",2017,15.75,82.68,-1.64427196837219,0.894736842,"52.5692   13.9906","Batch_1",1,7,0.0799999982118607,43.7999992370605,0.639999985694885,6,16.5727825164795,37.4555816650391,24.166202545166,46.6460609436035,69.0490036010742,8.62729358673096,23.1362075805664,74.0873489379883,36.9801330566406,215.944183349609,177.53044128418,184.944183349609,207.944183349609,202.944183349609,171.951110839844,208.951110839844,0.0338125117123127,0.0240964535623789,5.38993990630843e-05,0.00498461769893765,0.00355228292755783,0.00794581323862076,"12064472","Brandenburg",13.9906,52.5692,78,51,51,3.08772637572537,0.264458406574899,0.0741433913604922
"AA_0208","F",2016,15.56,90,-5.04960051554748,0.76,"53.0481   13.4464","Batch_1",2,8,0.5,25.7700004577637,2.84999990463257,0,62.7832565307617,373.087005615234,41.7471656799316,38.3166465759277,54.1002159118652,18.2919750213623,24.3475532531738,90.9727172851562,56.7258224487305,208.378875732422,175.803314208984,181.322799682617,203.378875732422,201.258911132812,170,207,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","Brandenburg",13.4464,53.0481,193,34,34,2.81301502603112,0.354214054047593,0.0830338727946987
"SK_3017","M",2015,17.46,82.7,0.0569429809524739,0.75,"48.9183   12.1492","Batch_1",1,9,0.529999971389771,23.0699996948242,0,0,51.0211791992188,95.9680023193359,33.1947250366211,43.0041351318359,99.9606552124023,54.9650192260742,85.2147445678711,94.9939727783203,60.3206367492676,214.01188659668,185.01188659668,193.01188659668,211.01188659668,195.01188659668,169.01188659668,204.995864868164,0.536088764667511,0.0299952458590269,3.91250760003459e-05,0.144040018320084,0.00805932935327291,0.0105123948305845,"09375205","Bayern",12.14916667,48.91833333,13,40,40,2.97965204799695,0.317130336479533,0.0788319410798892
"AA_0193","F",2016,16.04,86,-2.81259038047901,0.88,"52.7347   14.1267","Batch_1",5,10,0,10.0500001907349,21,25,63.9209899902344,57.3201866149902,41.3571472167969,38.0898857116699,62.1557388305664,5.99977588653564,33.3162956237793,69.0719528198242,28.1125793457031,219.216323852539,182.902542114258,189.852462768555,212.902542114258,207.902542114258,176.852462768555,212.902542114258,1.15889191627502,1.55216419696808,0.00633460888639092,0.122264824807644,0.163755640387535,0.668310701847076,"12064512","Brandenburg",14.1267,52.7347,101,123,123,4.16008719847049,0.284563597348942,0.0285703490416718
"SK_3160","F",2015,12.26,76.3,-2.33184080293798,0.92,"52.7408   14.1611","Batch_1",3,11,0.399999976158142,14.1099996566772,4.65000009536743,48,33.4688911437988,26.5862159729004,44.7974586486816,38.84130859375,63.4080696105957,5.08871650695801,36.2453880310059,67.9960021972656,25.3341693878174,219.003997802734,183,189.018478393555,213,208,176.018478393555,213,0.545795977115631,0.0857158526778221,0.986383676528931,0.0836265087127686,0.0131333274766803,151.133071899414,"12064371","Brandenburg",14.1611,52.7408,110,57,57,3.23213320294869,0.250174040325613,0.0701266191579616
"AA_0460","F",2017,5.32,52.82,1.04180868991393,0.25,"52.4936   13.6686","Batch_1",6,12,0.519999980926514,39,0,0,23.9148368835449,30.8242111206055,34.565486907959,40.1565628051758,63.0231742858887,9.07248210906982,28.6513519287109,64.6789169311523,46.6844062805176,218.489135742188,182.489135742188,188.434509277344,211.489135742188,210.927520751953,178.031448364258,215.927520751953,0.0336529426276684,0.00670273322612047,5.25753930560313e-05,0.0105757657438517,0.00210639950819314,0.0165223311632872,"12064227","Brandenburg",13.6686,52.4936,70,132,132,3.82131723159213,0.20615035595927,0.0367486999501197
"AA_0542","M",2018,15.81,79.5,-0.187448910992751,0.8823529412,"52.8328   14.0908","Batch_1",5,13,0.0799999982118607,71.5,1.3400000333786,0,26.939790725708,144.924758911133,39.3800735473633,40.0014839172363,60.5314483642578,6,32.2000389099121,67.4094085693359,35.7133178710938,217.998519897461,182.998519897461,188.998519897461,211.998519897461,207.998519897461,175.998519897461,212.986267089844,2.81315588951111,0.0907081663608551,0.000169543141964823,0.214459255337715,0.0069150822237134,0.0129250194877386,"12064044","Brandenburg",14.0908,52.8328,129,44,44,3.21546071917639,0.403106939153083,0.0563802567502859
"AA_0131","M",2016,10.634,65,1.00571282863044,0,"52.1583   13.5878","Batch_1",5,14,0.469999998807907,25.4799995422363,9.32999992370605,6,67.2844924926758,123.291549682617,41.9005737304688,38.4732055664062,67.0479507446289,15.385217666626,31.9013061523438,109.830322265625,55.5631332397461,217.098342895508,182.264038085938,187.17463684082,211.09992980957,204.173599243164,175.098342895508,213.098876953125,0.32527357339859,0.0150937316939235,0.253844559192657,0.0328002460300922,0.00152203603647649,25.5974178314209,"12061332","Brandenburg",13.5878,52.1583,46,41,41,2.54687496638163,0.181642947640199,0.134275754821771
"AA_0668","F",2018,14.11,72,1.40694509226062,0.8260869565,"53.0706   14.0939","Batch_1",6,15,0.379999995231628,56.5299987792969,0,0,24.508186340332,316.626281738281,24.2312984466553,42.9505004882812,53.7810249328613,14.0121917724609,31.5333290100098,76.3792343139648,54.8394203186035,211.214477539062,178.214477539062,183.214477539062,206.214477539062,204.214477539062,170.214477539062,209.253768920898,0.162654235959053,0.0085555724799633,0.009685929864645,0.126281678676605,0.00664238492026925,7.51997375488281,"12073440","Brandenburg",14.0939,53.0706,198,24,24,2.62226470807898,0.42032307252454,0.0991300963242602
"SK_3057","M",2015,17.13,79.5,1.13255108900725,0.35,"49.0919   12.3844","Batch_1",2,16,0.419999986886978,36.8600006103516,0,0,73.1023254394531,44.0943984985352,54.1711845397949,60.9189262390137,113.469711303711,51.0748176574707,112.74893951416,101.804153442383,67.2831420898438,202.109756469727,170.438522338867,181.438522338867,197.438522338867,182.438522338867,156.438522338867,192.438522338867,1.02594614028931,0.00723065715283155,3.35459590132814e-05,0.336113542318344,0.00236885901540518,0.0109901009127498,"09375120","Bayern",12.38444444,49.09194444,18,56,56,3.06133746178933,0.21548215659859,0.0828706336479078
"AA_0458","F",2017,15.58,75.52,1.33077617340038,0.826086957,"52.0439   14.2697","Batch_1",3,17,0,73.6500015258789,0.769999980926514,0,24.7392826080322,161.359786987305,26.0684700012207,38.0580596923828,71.99365234375,20.0163078308105,25.4431476593018,102.03540802002,80.5895614624023,221.925628662109,183.010620117188,190.925628662109,215.925628662109,207.925628662109,175.925628662109,212.925628662109,1.66057419776917,0.215890631079674,0.000149910119944252,0.095374770462513,0.0123996380716562,0.00861005950719118,"12067137","Brandenburg",14.2697,52.0439,40,43,43,3.05482862088036,0.323035229717627,0.0719915718598768
"SK_3097","F",2015,24.14,87.8,4.49675505874018,0,"52.8803   13.4383","Batch_1",1,18,0,38.7900009155273,2.82999992370605,4,12.4862432479858,67.904426574707,45.7272644042969,44.3271675109863,65.0657196044922,16.0875778198242,24.0875778198242,105.917922973633,49.2000198364258,211.037689208984,176.955780029297,182.811645507812,205.037689208984,202.811645507812,171.097854614258,208.103759765625,2.58246850967407,0.0293844472616911,0.0732428804039955,0.182930991053581,0.00208146823570132,5.1882119178772,"12065193","Brandenburg",13.4383,52.8803,136,55,55,3.08296510122186,0.218667196812487,0.0831483571695007
"AA_0344","F",2017,17.24,87.46,-2.253899079779,0.8,"53.0497   13.4408","Batch_1",14,19,0,60.8400001525879,3.14000010490417,0,23.9181709289551,118.092124938965,42.1488952636719,38.2435302734375,54.139331817627,18.4349002838135,24.200855255127,90.7454605102539,57.6120796203613,208.059967041016,175.770980834961,181.049530029297,203.059967041016,201.045440673828,170,207,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","Brandenburg",13.4408,53.0497,194,59,59,3.17458023728944,0.246551026814232,0.0687450089394415
"AA_0513","F",2017,11.358,68,0.411955227329094,0.956521739130435,"53.5188   12.4464","Batch_1",3,20,0.0299999993294477,41.1599998474121,0.819999992847443,0,61.2560844421387,105.03173828125,63.4041709899902,35.0205955505371,53.4041709899902,41.3835716247559,32.4041709899902,83.2273254394531,70.2035522460938,199,174,178,201,197,167,202,0.00059589633019641,1.20050444820663e-05,4.56968285433845e-09,0.000551132194232196,1.11032168206293e-05,4.22640505348681e-06,"13056064","Mecklenburg-Vorpommern",12.4464,53.51885,230,49,49,3.16300760936916,0.278046678612542,0.0733983350103055
